DATE,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1
2017-03-21,108.4140625,108.3671875,108.4140625,108.3359375
2017-03-22,108.453125,108.46875,108.46875,108.453125
2017-03-23,108.4765625,108.4609375,108.4765625,108.4296875
2017-03-24,,,,
2017-03-27,108.5234375,108.5703125,108.5703125,108.5234375
2017-03-28,108.5,108.5,108.5,108.5
2017-03-29,,,,
2017-03-30,108.484375,108.4765625,108.484375,108.4765625
2017-03-31,,,,
2017-04-03,108.296875,108.2421875,108.3046875,108.1953125
2017-04-04,108.2421875,108.2890625,108.296875,108.2421875
2017-04-05,108.2890625,108.2421875,108.3046875,108.203125
2017-04-06,108.2578125,108.2890625,108.3046875,108.234375
2017-04-07,108.1796875,108.265625,108.390625,108.171875
2017-04-10,108.21875,108.1796875,108.2421875,108.15625
2017-04-11,108.3046875,108.2109375,108.328125,108.2109375
2017-04-12,108.375,108.3046875,108.3828125,108.265625
2017-04-13,108.359375,108.375,108.390625,108.3125
2017-04-17,108.3671875,108.390625,108.4375,108.359375
2017-04-18,108.4609375,108.375,108.4765625,108.3671875
2017-04-19,108.4296875,108.46875,108.46875,108.40625
2017-04-20,108.421875,108.4375,108.453125,108.3828125
2017-04-21,108.4296875,108.4296875,108.46875,108.40625
2017-04-24,108.3359375,108.3359375,108.3515625,108.2421875
2017-04-25,108.265625,108.3359375,108.34375,108.25
2017-04-26,108.3046875,108.265625,108.3125,108.2421875
2017-04-27,108.3203125,108.296875,108.3359375,108.28125
2017-04-28,108.3125,108.3203125,108.34375,108.2578125
2017-05-01,108.2890625,108.3046875,108.3203125,108.265625
2017-05-02,108.3203125,108.2890625,108.328125,108.2578125
2017-05-03,108.25,108.3203125,108.3203125,108.234375
2017-05-04,108.21875,108.25,108.2578125,108.1875
2017-05-05,108.2109375,108.2109375,108.2578125,108.15625
2017-05-08,108.1875,108.203125,108.234375,108.1640625
2017-05-09,108.1796875,108.1796875,108.203125,108.140625
2017-05-10,108.140625,108.171875,108.21875,108.140625
2017-05-11,108.1796875,108.140625,108.1875,108.1171875
2017-05-12,108.28125,108.1875,108.296875,108.1796875
2017-05-15,108.2734375,108.2890625,108.296875,108.2578125
2017-05-16,108.2734375,108.2734375,108.3046875,108.2421875
2017-05-17,108.3828125,108.2734375,108.40625,108.265625
